id;att_org_id;name;reg_num;factory_num;fac_ids;si_err
62;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;202515;6;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
75;0;Шумомер-виброметр, анализатор спектра ЭКОФИЗИКА-110А;48906-12;БФ150212;6;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
122;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;6;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
137;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;6;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
150;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;287018;6;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
173;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;6;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
188;0;Термоанемометр ТТМ-2-04;44377-10;2852;6;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
202;0;"Калибратор акустический ""Защита-К""";47740-11;122616;6;"±0,4%; ±0,6%"
12;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;7;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
27;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;7;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
